TA with Auckland Local Board,Year at 30 June,Euro-all-ages,Euro-5-9,Euro-10-14,Euro-15-19,Maori-all-ages,Maori-5-9,Maori-10-14,Maori-15-19,Asian-all-ages,Asian-5-9,Asian-10-14,Asian-15-19,Pacific-all-ages,Pacific-5-9,Pacific-10-14,Pacific-15-19,Total-all-ages,Total-5-9,Total-10-14,Total-15-19
South Taranaki district,2023,23700,1750,1720,1320,7890,870,900,770,1210,100,90,65,670,100,95,75,28100,2060,2100,1710
South Taranaki district,2028,23900,1840,1640,1470,8370,870,900,890,1440,110,100,90,780,110,105,95,28200,2010,1990,1830
South Taranaki district,2033,24000,1860,1720,1380,8870,880,890,890,1670,120,115,105,910,120,115,105,28000,1920,1950,1720
South Taranaki district,2038,24000,1780,1740,1470,9420,910,900,890,1890,125,120,115,1050,135,125,110,27800,1810,1850,1680
Ruapehu district,2013,8750,630,540,520,5330,640,500,480,410,30,30,30,310,60,35,25,12450,1000,850,840
Ruapehu district,2018,9050,700,570,400,5660,700,660,470,560,40,30,25,340,45,60,30,12600,1020,910,730
Ruapehu district,2023,8790,690,610,400,5840,630,710,630,690,50,40,25,370,45,45,60,12100,910,920,770
Ruapehu district,2028,8570,660,610,450,5820,550,620,680,770,55,50,35,400,40,45,40,11500,890,810,770
Ruapehu district,2033,8230,640,580,450,5780,500,540,580,850,55,55,40,430,45,40,40,10750,790,780,660
Ruapehu district,2038,7760,570,560,420,5730,500,490,500,910,55,55,50,470,55,45,40,9920,670,690,640
Whanganui district,2013,36100,2250,2410,2350,10350,1080,1120,1060,1360,105,110,130,1300,155,150,150,43500,2830,3040,3040
Whanganui district,2018,36300,2410,2310,2170,11250,1250,1130,1060,2210,160,150,170,1500,205,165,150,44200,3080,2910,2760
Whanganui district,2023,36300,2280,2470,2050,12100,1300,1300,1070,2930,250,180,180,1690,245,215,165,44400,2790,3150,2610
Whanganui district,2028,36300,2320,2340,2210,12900,1320,1350,1240,3680,320,280,220,1890,255,255,215,44400,2780,2860,2850
Whanganui district,2033,36000,2290,2380,2080,13750,1330,1380,1290,4450,370,340,310,2110,270,270,250,44000,2680,2850,2560
Whanganui district,2038,35300,2140,2350,2120,14600,1370,1380,1310,5210,400,390,370,2370,300,280,270,43400,2520,2750,2540
Rangitikei district,2013,11950,800,790,700,3630,380,370,350,250,15,20,20,590,85,45,50,14550,1030,1000,900
Rangitikei district,2018,12150,880,730,590,3850,400,390,370,490,35,30,25,850,125,95,50,14950,1100,990,820
Rangitikei district,2023,12000,850,800,520,4040,440,410,380,690,60,45,30,1100,180,130,100,14900,1170,1060,800
Rangitikei district,2028,11800,860,760,580,4170,440,440,400,890,70,65,50,1350,185,190,135,14750,1150,1130,860
Rangitikei district,2033,11450,840,780,540,4320,430,440,430,1090,80,80,70,1630,195,190,195,14450,1060,1110,930
Rangitikei district,2038,10900,740,750,560,4460,440,440,430,1290,80,85,85,1940,225,200,200,14000,930,1010,910
Manawatu district,2013,26000,1800,1920,1830,4390,530,480,470,600,40,50,60,480,85,55,60,28500,2000,2120,2040
Manawatu district,2018,27700,1990,2010,1770,4940,560,560,480,1060,70,75,110,580,75,85,55,30700,2110,2180,1970
Manawatu district,2023,28600,1960,2150,1800,5440,610,580,560,1450,115,95,125,680,105,75,85,31900,2100,2270,1990
Manawatu district,2028,29400,2050,2130,1940,5950,630,640,580,1860,145,140,145,790,110,105,75,32900,2160,2260,2080
Manawatu district,2033,30100,2110,2220,1920,6490,660,660,640,2290,170,170,190,910,125,115,105,33800,2130,2320,2070
Manawatu district,2038,30600,2070,2280,2010,7080,700,690,660,2720,190,190,220,1050,135,125,115,34400,2040,2290,2130
Palmerston North city,2013,66700,4330,4190,5370,14300,1640,1490,1610,8550,530,530,730,3870,440,430,430,83500,5470,5390,6900
Palmerston North city,2018,68000,4480,4340,5340,16050,1790,1690,1700,11250,850,640,930,4580,640,460,450,88200,5900,5540,6990
Palmerston North city,2023,68800,4000,4490,5430,17850,1780,1860,1920,13150,1030,910,970,5310,740,660,490,91400,5560,5920,7090
Palmerston North city,2028,69400,4230,4010,5610,19750,1900,1850,2100,14650,1040,1070,1220,6050,770,760,690,94200,5720,5580,7460
Palmerston North city,2033,69900,4350,4250,5140,21800,2010,1970,2100,16000,970,1080,1380,6840,810,800,790,96700,5780,5740,7110
Palmerston North city,2038,70100,4250,4370,5380,23900,2150,2080,2220,17250,910,1020,1390,7710,870,830,820,98800,5740,5790,7280
Tararua district,2013,15100,1120,1030,900,3830,460,410,390,400,25,35,35,290,40,40,25,17450,1330,1240,1110
Tararua district,2018,15100,1140,1080,820,4190,500,470,400,610,40,35,40,340,45,45,40,17500,1320,1280,1000
Tararua district,2023,15000,1080,1100,870,4550,500,510,460,740,70,45,30,390,55,45,45,17300,1200,1260,1030
Tararua district,2028,14800,1080,1040,890,4930,520,520,500,880,75,75,40,440,60,60,50,17000,1170,1150,1020
Tararua district,2033,14450,1050,1040,820,5330,540,540,510,1020,80,80,70,500,65,60,60,16600,1110,1110,900
Tararua district,2038,14000,970,1010,820,5770,580,560,530,1150,80,85,75,570,75,70,65,16050,1020,1050,870
Horowhenua district,2013,26000,1580,1650,1580,7300,820,820,780,1120,85,85,85,1580,215,205,165,31200,2000,2090,2020
Horowhenua district,2018,26400,1520,1600,1470,8000,930,830,810,1590,110,105,90,1920,295,240,210,32200,2030,2040,1890
Horowhenua district,2023,26400,1470,1510,1390,8750,910,950,820,1830,140,115,90,2230,290,310,240,32500,1890,2040,1800
Horowhenua district,2028,26200,1520,1460,1290,9570,1000,940,960,2070,150,140,100,2570,320,310,320,32600,1930,1910,1810
Horowhenua district,2033,26000,1540,1510,1240,10450,1080,1030,950,2310,160,150,130,2940,360,340,310,32400,1900,1950,1670
Horowhenua district,2038,25400,1450,1540,1290,11450,1170,1120,1040,2540,170,170,140,3360,400,380,340,32000,1790,1920,1710
Kapiti Coast district,2013,45700,2750,2830,2530,6940,840,700,680,1870,145,150,155,1420,185,180,155,50700,3130,3210,2930
Kapiti Coast district,2018,47300,3050,2770,2510,7820,970,910,700,2600,200,190,170,1710,225,195,180,53100,3430,3280,2910
Kapiti Coast district,2023,48100,2730,3030,2390,8680,950,1040,920,3240,270,230,200,2030,260,240,190,54700,3060,3560,2940
Kapiti Coast district,2028,48900,2830,2710,2650,9600,1000,1020,1060,3890,300,300,250,2360,290,270,240,56200,3140,3190,3220
Kapiti Coast district,2033,49500,2900,2810,2330,10650,1080,1080,1040,4530,330,330,310,2730,330,310,270,57500,3150,3270,2850
Kapiti Coast district,2038,49800,2820,2880,2440,11750,1180,1150,1090,5160,360,360,350,3130,370,340,310,58500,3090,3280,2930
Porirua city,2013,34400,2770,2440,2210,11450,1360,1230,1180,3550,310,260,270,14550,1540,1540,1530,53700,4320,4150,4020
Porirua city,2018,36200,2730,2500,2230,12500,1520,1370,1260,4730,450,340,270,15450,1870,1520,1510,56600,4570,4100,3950
Porirua city,2023,37300,2580,2440,2270,13400,1430,1540,1410,5630,590,450,320,16400,1790,1850,1490,58300,4340,4320,3860
Porirua city,2028,38200,2550,2290,2210,14300,1490,1440,1570,6500,620,590,440,17400,1870,1770,1820,59500,4230,4090,4080
Porirua city,2033,38600,2460,2260,2060,15350,1560,1510,1470,7340,640,620,580,18450,1950,1850,1740,60300,4040,3980,3850
Porirua city,2038,38700,2290,2170,2030,16450,1670,1580,1540,8170,660,640,600,19550,2020,1920,1820,60600,3810,3790,3740
Upper Hutt city,2013,35300,2330,2390,2440,6020,650,590,580,2570,200,190,180,2090,270,230,210,41300,2730,2830,2900
Upper Hutt city,2018,36700,2520,2370,2290,6580,760,670,600,3360,280,210,240,2340,290,280,230,43400,2970,2800,2720
Upper Hutt city,2023,37900,2430,2560,2240,7040,740,790,680,4060,400,290,240,2590,340,310,290,44900,2940,3020,2670
Upper Hutt city,2028,38900,2560,2480,2440,7520,750,770,800,4740,420,400,330,2850,340,360,310,46100,2920,2990,2900
Upper Hutt city,2033,39700,2570,2600,2360,8030,770,780,780,5410,440,430,440,3130,360,360,360,47100,2810,2970,2860
Upper Hutt city,2038,40200,2440,2620,2480,8600,820,800,800,6080,450,440,460,3460,390,380,360,47700,2660,2860,2850
Lower Hutt city,2013,72700,5070,4720,4530,17750,2000,1860,1680,12000,860,800,810,11500,1300,1220,1180,101200,7160,6970,6880
Lower Hutt city,2018,73800,4830,4620,4440,19350,2190,2060,1900,15100,1170,900,770,12600,1480,1380,1220,105000,7240,6870,6690
Lower Hutt city,2023,74200,4440,4380,4310,20900,2260,2260,2120,17450,1520,1160,810,13600,1500,1570,1380,106800,6770,6900,6540
Lower Hutt city,2028,74400,4670,3990,4090,22400,2270,2340,2330,19150,1540,1480,1050,14550,1500,1570,1560,107800,6790,6410,6550
Lower Hutt city,2033,74100,4760,4220,3700,24000,2310,2340,2410,20500,1410,1490,1380,15600,1550,1580,1570,108100,6610,6430,6070
Lower Hutt city,2038,73400,4570,4310,3930,25800,2430,2380,2410,21800,1260,1370,1390,16700,1630,1630,1580,107700,6240,6250,6080
Wellington city,2013,152700,8840,8270,11160,16650,1450,1360,1680,31800,1920,1890,2150,9930,910,890,1000,197500,11260,10770,14320
Wellington city,2018,157900,8500,8810,11740,18200,1550,1450,1460,41900,2680,2200,2110,10550,960,950,910,212800,11550,11530,14850
Wellington city,2023,160400,7530,8480,12220,19800,1470,1560,1560,49600,3260,2800,2270,11200,1090,1010,980,222600,10580,11710,15380
Wellington city,2028,162200,8050,7490,11920,21400,1600,1490,1690,56100,3580,3330,2830,11700,1090,1120,1030,230500,11080,10680,15500
Wellington city,2033,163800,8510,8010,10980,23000,1650,1620,1610,62200,3610,3640,3360,12200,1080,1120,1150,238000,11570,11180,14460
Wellington city,2038,164900,8570,8480,11510,24600,1650,1670,1750,68000,3500,3670,3670,12650,1090,1120,1150,244600,11710,11660,14970
Masterton district,2013,21100,1380,1440,1370,4580,520,510,510,650,60,40,45,830,125,100,80,24100,1610,1670,1630
Masterton district,2018,21900,1430,1510,1340,5110,570,540,520,930,70,65,40,940,120,135,105,25000,1660,1700,1540
Masterton district,2023,22200,1340,1540,1380,5690,650,600,550,1170,105,75,65,1060,140,130,135,25500,1590,1740,1560
Masterton district,2028,22400,1410,1450,1410,6320,710,680,620,1410,120,110,75,1200,150,150,130,25800,1610,1670,1590
Masterton district,2033,22500,1430,1520,1320,7000,760,740,700,1650,130,130,110,1360,170,160,150,25900,1560,1690,1520
Masterton district,2038,22500,1360,1540,1390,7730,800,790,770,1900,135,135,125,1540,195,180,160,25800,1450,1640,1540
Carterton district,2013,7890,530,510,510,1040,110,110,130,130,10,5,15,160,25,20,20,8490,580,560,560
Carterton district,2018,8360,560,510,510,1190,130,115,105,190,10,10,10,190,30,30,20,9070,630,600,540
Carterton district,2023,8500,550,530,490,1330,110,140,115,240,30,15,10,210,25,30,30,9330,580,640,580
Carterton district,2028,8610,550,520,510,1480,125,120,135,280,30,30,15,240,25,25,30,9530,580,590,610
Carterton district,2033,8630,560,520,490,1640,140,135,120,320,30,30,35,270,30,30,25,9670,570,600,570
Carterton district,2038,8570,540,530,490,1800,150,150,135,360,30,30,30,300,35,30,30,9720,560,590,570
South Wairarapa district,2013,9000,620,530,480,1390,185,140,130,230,10,15,20,200,30,25,20,9800,670,600,530
South Wairarapa district,2018,9380,640,580,430,1540,160,190,135,300,20,10,20,220,35,30,25,10250,680,660,490
South Wairarapa district,2023,9590,550,600,470,1700,160,170,190,340,30,20,10,240,25,40,35,10500,630,660,550
South Wairarapa district,2028,9810,590,510,480,1870,180,170,170,380,30,30,20,270,25,25,40,10650,630,620,550
South Wairarapa district,2033,9980,620,540,390,2050,200,190,170,410,30,30,30,300,25,25,25,10800,630,620,500
South Wairarapa district,2038,10100,610,570,420,2250,220,210,190,440,25,30,30,330,30,30,25,10850,610,610,500
Tasman district,2013,46300,3210,3280,2820,3870,450,490,390,1100,80,80,75,560,70,65,50,48800,3400,3480,3010
Tasman district,2018,48300,3160,3420,2840,4290,460,480,480,1510,125,95,100,710,90,80,70,51300,3270,3630,3020
Tasman district,2023,49600,2890,3340,2950,4770,500,490,470,1940,160,140,115,860,90,100,90,53000,2960,3480,3150
Tasman district,2028,50600,2920,3070,2870,5310,560,540,480,2380,190,170,160,1020,95,95,105,54300,2910,3180,3010
Tasman district,2033,51200,2960,3100,2590,5910,630,590,530,2830,210,210,190,1180,105,105,105,55300,2880,3130,2710
Tasman district,2038,51300,2930,3140,2620,6570,700,670,590,3280,230,230,230,1350,115,115,110,55800,2840,3090,2650
Nelson city,2013,44100,2740,2710,2610,4830,580,520,500,2310,190,190,200,930,120,110,110,48700,3070,3110,3050
Nelson city,2018,45900,2830,3010,2650,5490,600,610,540,3420,300,220,270,1110,140,135,115,51800,3210,3360,3150
Nelson city,2023,46900,2620,3070,2900,6170,630,630,640,4370,370,310,300,1290,170,155,140,53700,2980,3480,3370
Nelson city,2028,47800,2650,2870,2960,6900,680,670,660,5320,430,390,390,1470,180,185,160,55300,2930,3240,3490
Nelson city,2033,48300,2650,2900,2760,7690,730,710,700,6290,470,440,460,1670,195,195,185,56500,2830,3190,3260
Nelson city,2038,48500,2570,2890,2800,8530,800,770,750,7270,500,480,520,1890,215,205,195,57400,2760,3100,3200
Marlborough district,2013,40600,2420,2320,2220,5300,540,510,520,1380,90,70,75,1100,135,115,100,44700,2690,2580,2520
Marlborough district,2018,41200,2650,2410,2010,5980,710,570,500,2150,150,110,100,1390,190,150,120,46000,2930,2740,2260
Marlborough district,2023,41400,2480,2650,2100,6670,780,750,560,2840,250,170,140,1610,195,200,150,46900,2740,2970,2420
Marlborough district,2028,41500,2520,2480,2340,7380,800,820,750,3510,270,260,190,1840,195,205,205,47400,2660,2790,2650
Marlborough district,2033,41300,2500,2510,2160,8160,830,850,830,4170,280,290,290,2070,210,210,210,47600,2550,2710,2460
Marlborough district,2038,40700,2400,2500,2200,9020,900,880,850,4820,280,300,320,2320,230,220,210,47500,2450,2600,2380
Kaikoura district,2013,3240,180,170,160,650,75,65,55,90,10,0,0,40,5,5,5,3640,210,200,190
Kaikoura district,2018,3250,200,170,130,730,95,85,55,140,10,10,5,50,10,5,5,3670,230,220,160
Kaikoura district,2023,3260,190,200,130,800,100,100,75,170,15,10,10,60,5,10,5,3690,260,240,170
Kaikoura district,2028,3260,190,180,160,860,100,105,90,210,15,15,15,70,5,5,10,3680,240,260,200
Kaikoura district,2033,3230,190,180,140,940,100,105,95,240,15,20,20,90,5,5,5,3640,220,250,220
Kaikoura district,2038,3160,170,180,140,1010,105,110,95,270,15,20,20,100,5,10,10,3580,210,230,200
Buller district,2013,9960,610,600,530,1090,115,100,105,290,25,20,15,110,15,10,5,10650,660,640,580
Buller district,2018,9490,680,570,430,1180,130,115,100,320,25,25,20,140,15,15,10,10100,720,650,490
Buller district,2023,9430,580,670,430,1250,130,130,115,350,15,25,25,160,15,20,20,10000,620,730,510
Buller district,2028,9510,630,570,540,1330,130,130,130,380,15,15,25,180,15,20,20,9910,590,630,590
Buller district,2033,9540,650,620,430,1400,130,130,125,410,20,15,15,210,15,15,20,9800,580,590,490
Buller district,2038,9520,620,640,480,1470,135,130,130,430,20,20,20,230,20,20,20,9670,580,590,450
Grey district,2013,12950,830,820,830,1340,135,150,140,310,20,20,15,180,25,15,20,13700,880,880,890
Grey district,2018,12800,930,780,710,1430,185,140,135,360,30,20,20,220,30,25,10,13600,970,850,750
Grey district,2023,12850,820,890,680,1520,145,190,125,420,35,35,20,260,25,30,25,13550,870,950,730
Grey district,2028,13000,870,790,800,1600,150,150,180,460,35,35,30,300,25,25,30,13450,830,850,830
Grey district,2033,13000,880,840,700,1700,160,160,140,500,35,35,30,330,30,30,25,13250,790,810,730
Grey district,2038,12900,810,850,750,1790,170,165,145,550,35,35,35,370,30,30,30,12950,730,760,690
Westland district,2013,7750,490,460,410,1170,120,135,100,310,15,10,20,120,15,20,10,8570,530,510,470
Westland district,2018,7860,520,500,360,1280,115,120,135,450,30,20,15,150,20,15,20,8850,560,530,420
Westland district,2023,7770,470,530,400,1390,140,120,120,560,45,30,20,180,15,20,15,8910,540,550,440
Westland district,2028,7640,460,470,420,1500,140,140,120,640,50,45,30,210,20,20,20,8910,520,530,460
Westland district,2033,7430,440,460,370,1610,150,145,145,720,45,50,50,250,20,20,20,8820,490,520,440
Westland district,2038,7160,410,450,360,1730,155,150,150,790,35,40,50,280,25,25,20,8680,460,490,420
Hurunui district,2013,11300,780,730,640,920,120,95,85,320,25,10,20,100,10,10,15,12000,810,750,690
Hurunui district,2018,12050,860,790,610,1150,140,135,85,510,40,35,15,150,10,10,15,12950,890,820,610
Hurunui district,2023,12350,840,850,650,1330,150,155,125,710,60,45,40,200,15,10,10,13450,880,890,670
Hurunui district,2028,12600,880,830,700,1530,165,170,145,900,70,65,50,250,25,20,15,13850,920,880,740
Hurunui district,2033,12750,910,870,680,1740,180,180,160,1100,75,75,70,300,30,25,20,14200,920,920,730
Hurunui district,2038,12850,890,900,720,1990,205,200,170,1300,80,80,80,350,30,30,25,14400,880,910,770
Waimakariri district,2013,49800,3530,3650,3480,4080,510,510,430,990,80,90,100,460,70,60,50,52300,3700,3860,3710
Waimakariri district,2018,57400,3680,4020,3810,4880,500,570,510,1560,110,105,110,650,75,80,65,60900,3950,4200,3910
Waimakariri district,2023,62000,3970,4010,4000,5580,590,560,570,2110,170,130,120,860,125,85,85,66800,4120,4260,4140
Waimakariri district,2028,66000,4200,4270,3950,6310,650,640,560,2480,200,170,130,1100,150,135,90,71500,4370,4390,4170
Waimakariri district,2033,69900,4510,4500,4210,7100,730,710,650,2850,210,200,170,1360,180,160,140,75800,4630,4640,4300
Waimakariri district,2038,73400,4710,4820,4440,7970,810,790,720,3210,230,220,200,1650,210,190,165,79600,4660,4900,4550
Christchurch city,2013,302400,17700,17390,19740,31800,3330,3030,3230,35800,2120,2070,2730,11700,1290,1160,1220,356700,20760,20810,24070
Christchurch city,2018,316900,19070,17870,19690,36300,4090,3500,3390,51000,3560,2830,3700,13550,1550,1380,1260,387200,23080,21560,25180
Christchurch city,2023,326100,17580,19120,19840,40800,4360,4300,3890,62700,5170,4040,4220,15500,1890,1650,1490,408800,22380,23420,25330
Christchurch city,2028,332600,18180,17510,21010,45300,4600,4590,4750,70300,5300,5420,5160,17500,2000,1990,1760,423800,23220,22500,26980
Christchurch city,2033,337800,18280,18120,19430,50100,4780,4840,5050,77600,5070,5550,6530,19650,2130,2100,2100,437500,23570,23330,26050
Christchurch city,2038,341200,17710,18220,20040,55200,5080,5030,5310,84900,5060,5320,6660,22000,2290,2220,2210,449100,23260,23690,26890
Selwyn district,2013,43700,3560,3310,3300,3460,420,400,380,1590,115,120,155,590,70,60,65,46700,3740,3520,3570
Selwyn district,2018,56500,4400,4500,4280,4630,470,470,450,3120,210,190,250,810,95,80,65,61900,4650,4640,4490
Selwyn district,2023,64300,4830,5000,5080,5580,560,510,510,4460,390,260,300,1050,150,100,85,71900,5040,5160,5290
Selwyn district,2028,69600,4860,5240,5400,6560,660,610,550,5660,480,430,350,1300,170,155,110,79200,5350,5440,5720
Selwyn district,2033,75100,5100,5270,5640,7620,740,700,650,6870,550,520,510,1570,190,180,165,86200,5800,5750,6000
Selwyn district,2038,80700,5520,5520,5670,8760,830,790,750,8100,590,580,600,1860,210,200,190,92900,5910,6200,6310
Ashburton district,2013,28800,1900,1840,1660,2490,310,270,230,1400,120,95,70,1160,150,100,95,32300,2200,2110,1910
Ashburton district,2018,30000,2250,1930,1630,3120,390,340,290,2000,150,130,110,1500,225,160,105,34700,2680,2320,1880
Ashburton district,2023,30900,2210,2270,1690,3610,400,420,360,2360,230,160,130,1820,270,235,160,36300,2710,2780,2060
Ashburton district,2028,31800,2360,2240,2030,4090,440,430,440,2680,200,230,160,2120,260,280,240,37800,2760,2810,2520
Ashburton district,2033,32700,2420,2380,2000,4620,470,470,450,3010,200,210,230,2460,270,270,280,39200,2700,2850,2550
Ashburton district,2038,33400,2380,2450,2150,5220,520,500,490,3340,200,200,210,2860,310,280,270,40500,2660,2800,2590
Timaru district,2013,42700,2500,2710,2680,3550,390,420,360,1200,70,100,105,560,60,55,70,45400,2690,2920,2920
Timaru district,2018,44100,2750,2680,2540,4130,500,410,440,1800,115,90,125,720,105,65,60,47400,2900,2860,2740
Timaru district,2023,44800,2700,2900,2470,4710,520,520,430,2380,220,130,120,890,140,110,75,48500,2850,3050,2640
Timaru district,2028,45500,2830,2860,2700,5340,580,550,550,2960,250,230,160,1070,150,145,115,49400,2880,3000,2840
Timaru district,2033,45900,2870,3000,2660,6030,640,600,570,3550,280,270,260,1270,165,155,155,50000,2820,3030,2790
Timaru district,2038,45900,2740,3030,2790,6800,700,660,630,4140,300,300,300,1500,185,165,165,50200,2670,2970,2820
Mackenzie district,2013,3980,260,270,200,310,35,45,25,200,15,10,10,60,5,5,0,4300,280,290,210
Mackenzie district,2018,4220,290,270,250,380,50,35,45,270,25,15,15,80,15,5,5,4680,330,290,260
Mackenzie district,2023,4230,300,280,230,440,30,50,40,330,20,25,15,110,10,15,5,4790,340,340,260
Mackenzie district,2028,4210,290,290,250,500,35,30,50,370,20,20,25,130,10,10,15,4880,330,350,300
Mackenzie district,2033,4180,280,280,250,570,45,35,35,420,20,20,20,150,10,10,10,4930,310,340,310
Mackenzie district,2038,4130,270,270,240,640,50,45,40,460,20,20,20,180,10,10,10,4980,300,320,300
Waimate district,2013,7310,450,410,470,530,75,60,45,240,20,15,15,50,5,5,5,7810,500,450,510
Waimate district,2018,7400,500,450,310,650,70,85,55,360,25,25,20,60,10,5,5,8040,540,500,390
Waimate district,2023,7440,470,490,350,750,90,80,80,440,40,30,25,70,5,10,5,8190,540,540,420
Waimate district,2028,7460,500,460,390,860,95,95,80,520,40,40,30,80,5,5,10,8330,550,540,460
Waimate district,2033,7420,500,490,370,990,110,105,95,600,45,45,40,90,5,5,5,8420,550,550,460
Waimate district,2038,7330,470,490,390,1140,125,120,105,680,45,45,45,100,5,5,5,8480,540,550,470
Chatham Islands territory,2013,460,50,25,15,350,35,20,15,10,0,0,0,10,0,0,0,600,55,30,25
Chatham Islands territory,2018,480,35,45,20,340,30,35,20,10,0,0,0,20,5,0,0,610,35,50,25
Chatham Islands territory,2023,500,35,30,40,330,25,30,35,20,0,0,0,30,5,5,5,610,35,30,45
Chatham Islands territory,2028,510,30,30,25,320,25,25,30,20,0,0,0,50,5,5,5,610,35,30,30
Chatham Islands territory,2033,520,30,30,25,320,25,25,25,30,0,0,0,60,10,5,5,620,35,30,30
Chatham Islands territory,2038,540,35,30,25,320,25,25,20,30,0,0,0,80,10,10,10,620,35,30,25
Waitaki district,2013,19800,1160,1220,1100,1480,170,170,145,730,70,55,60,550,85,65,35,21400,1320,1360,1230
Waitaki district,2018,19900,1270,1200,1030,1780,185,180,180,1250,75,90,80,760,105,95,70,22300,1420,1400,1190
Waitaki district,2023,20100,1260,1310,1000,2080,250,200,190,1520,115,80,100,970,135,110,100,22800,1500,1490,1210
Waitaki district,2028,20200,1350,1310,1110,2390,280,260,210,1780,125,125,95,1180,135,140,120,23300,1530,1570,1300
Waitaki district,2033,20300,1390,1390,1100,2730,310,300,270,2050,130,130,130,1420,155,145,145,23600,1520,1600,1380
Waitaki district,2038,20200,1330,1430,1190,3120,350,330,310,2310,130,140,140,1700,185,160,150,23900,1470,1580,1410
Central Otago district,2013,17450,1040,1090,810,1460,170,165,140,370,20,25,20,260,25,15,15,18500,1110,1160,890
Central Otago district,2018,19100,1220,1160,960,1680,220,180,170,600,40,30,35,380,40,35,20,20500,1310,1210,1040
Central Otago district,2023,19750,1220,1290,980,1910,180,230,185,830,50,50,40,510,45,45,40,21400,1250,1390,1060
Central Otago district,2028,20300,1200,1290,1110,2160,200,190,240,1060,60,60,55,630,50,50,55,22200,1230,1330,1230
Central Otago district,2033,20700,1190,1270,1110,2430,230,210,200,1290,65,70,70,760,55,55,55,22900,1180,1320,1170
Central Otago district,2038,21000,1180,1260,1090,2730,260,240,220,1520,70,75,80,900,65,65,65,23300,1130,1260,1160
Queenstown-Lakes district,2013,26300,1630,1360,1120,1710,155,150,170,2240,120,110,130,280,25,30,25,29700,1760,1530,1320
Queenstown-Lakes district,2018,31000,2130,1770,1410,2110,240,170,170,4660,290,220,260,470,50,35,40,38300,2440,1970,1820
Queenstown-Lakes district,2023,34300,2110,2220,1760,2470,250,250,180,6060,440,330,300,570,65,50,40,44000,2520,2630,2130
Queenstown-Lakes district,2028,36300,2080,2140,2170,2790,260,260,260,6730,420,450,370,650,60,65,55,47700,2610,2630,2730
Queenstown-Lakes district,2033,38200,2010,2110,2100,3140,270,270,280,7340,370,430,490,740,60,60,70,51100,2650,2720,2740
Queenstown-Lakes district,2038,39900,2000,2040,2070,3520,300,290,290,7920,340,380,470,820,60,60,65,54300,2610,2770,2820
Dunedin city,2013,110800,5930,6170,10340,10000,1070,920,1330,8190,340,360,1350,3180,340,300,430,123500,6550,6800,12200
Dunedin city,2018,112200,6140,6080,10290,11450,1200,1150,1300,11750,580,410,1540,3560,410,380,360,129000,6930,6820,12270
Dunedin city,2023,112800,5610,6340,10150,12850,1220,1290,1540,13850,740,580,1350,3960,460,450,440,132000,6500,7140,12140
Dunedin city,2028,112700,5590,5790,10420,14250,1310,1310,1700,15650,820,720,1470,4340,490,500,510,133900,6470,6680,12430
Dunedin city,2033,112400,5550,5760,9910,15800,1380,1410,1720,17350,900,800,1610,4740,510,530,560,135300,6490,6660,11960
Dunedin city,2038,111400,5400,5720,9900,17350,1460,1480,1820,19000,910,880,1690,5160,520,540,590,136200,6400,6670,11950
Clutha district,2013,16000,1070,1190,990,1780,190,205,160,390,30,30,30,220,15,20,20,17250,1150,1290,1090
Clutha district,2018,16200,1090,1070,1000,1940,245,200,205,590,45,40,35,300,30,20,20,17600,1190,1130,1100
Clutha district,2023,16050,1030,1070,860,2100,210,260,200,740,70,50,45,380,40,35,20,17550,1090,1160,930
Clutha district,2028,16000,1070,1000,870,2270,220,230,260,840,65,70,50,450,45,40,40,17500,1100,1070,950
Clutha district,2033,15800,1090,1050,800,2440,230,230,230,930,60,70,70,530,45,45,45,17300,1080,1080,860
Clutha district,2038,15450,1040,1080,840,2640,250,240,230,1030,60,65,70,620,50,50,50,17000,1020,1060,870
Southland district,2013,27800,2080,1970,1720,3110,410,390,280,1270,115,95,55,280,45,30,30,30300,2280,2190,1890
Southland district,2018,28400,2190,2070,1630,3370,380,410,380,1790,160,135,105,380,40,50,30,31400,2400,2270,1850
Southland district,2023,28600,2160,2160,1700,3620,380,380,410,2290,180,180,140,480,65,45,50,31800,2280,2370,1920
Southland district,2028,28700,2270,2130,1790,3890,400,380,370,2780,190,200,180,580,70,70,50,32100,2270,2260,2010
Southland district,2033,28700,2320,2240,1760,4190,430,400,380,3260,190,200,200,690,75,75,75,32200,2200,2240,1900
Southland district,2038,28600,2260,2290,1870,4530,460,430,390,3750,210,210,210,820,85,80,80,32100,2140,2180,1880
Gore district,2013,11400,740,740,750,1400,165,145,145,260,25,15,15,110,5,15,15,12400,840,830,840
Gore district,2018,11450,750,770,670,1550,195,170,140,340,30,25,15,130,15,10,15,12500,850,870,730
Gore district,2023,11400,700,770,690,1690,205,205,165,430,45,30,25,160,20,15,10,12400,790,870,770
Gore district,2028,11300,710,720,690,1840,205,210,200,510,45,45,30,180,20,20,15,12300,760,820,770
Gore district,2033,11150,710,730,640,1990,210,215,205,580,40,45,45,210,25,25,20,12100,720,780,720
Gore district,2038,10950,660,730,650,2160,220,220,210,670,40,45,45,240,25,25,25,11800,660,740,690
Invercargill city,2013,47700,3130,3020,2950,8240,930,860,790,1820,120,95,150,1780,230,220,155,53200,3510,3450,3470
